229
seria 1: 1870, min: 0, max: 1397264
158, e, 266432
seria 159: 653, min: 0, max: 381920
159, s, 10992
159, e, 17156
159, s, 38556
159, e, 44740
159, s, 59140
159, e, 65240
159, s, 346072
159, e, 352172
159, s, 349492
159, e, 355580
seria 160: 117, min: 0, max: 95392
160, s, 9092
160, e, 15168
160, s, 25820
160, e, 31832
160, s, 37496
160, e, 43456
160, s, 68656
160, e, 74608
160, s, 74424
160, e, 80364
160, s, 78544
160, e, 84456
seria 161: 136, min: 0, max: 108568
161, s, 10628
161, e, 16580
161, s, 22108
161, e, 28024
161, s, 26192
161, e, 32148
161, s, 68060
161, e, 74060
161, s, 78928
161, e, 85008
seria 162: 198, min: 0, max: 152156
162, s, 20800
162, e, 26856
162, s, 25008
162, e, 31040
162, s, 34992
162, e, 40928
162, s, 46760
162, e, 52816
seria 163: 1155, min: 0, max: 839992
163, s, 28084
163, e, 34160
163, s, 55900
163, e, 61848
163, s, 95800
163, e, 101944
163, s, 101792
163, e, 107920
163, s, 119744
163, e, 125996
163, s, 156676
163, e, 163148
163, s, 188460
163, e, 195012
163, s, 202292
163, e, 208812
163, s, 214236
163, e, 220656
163, s, 218756
163, e, 225072
163, s, 442632
163, e, 448272
seria 164: 1176, min: 0, max: 734368
164, s, 91240
164, e, 95936
164, s, 132008
164, e, 136768
164, s, 406968
164, e, 411636
164, s, 503444
164, e, 508172
164, s, 637540
164, e, 642164
164, s, 717568
164, e, 722216
seria 167: 3661, min: 0, max: 1748651
167, s, 644503
167, e, 651227
167, s, 904779
167, e, 911459
seria 169: 82, min: 0, max: 61924
169, s, 14492
169, e, 20088
169, s, 32752
169, e, 38304
169, s, 36548
169, e, 42064
169, s, 39564
169, e, 45064
169, s, 42556
169, e, 48104
seria 170: 75, min: 0, max: 57120
170, s, 10824
170, e, 16456
170, s, 13900
170, e, 19560
170, s, 17764
170, e, 23468
170, s, 44464
170, e, 50184
seria 172: 93, min: 0, max: 71184
172, s, 5056
172, e, 10632
172, s, 25220
172, e, 30820
172, s, 32700
172, e, 38208
172, s, 56848
172, e, 62580
seria 173: 237, min: 0, max: 182548
173, s, 6696
173, e, 12240
173, s, 37272
173, e, 42864
173, s, 108472
173, e, 114360
173, s, 144716
173, e, 150424
173, s, 160340
173, e, 165916
seria 174: 355, min: 0, max: 259332
174, s, 31904
174, e, 37464
174, s, 39480
174, e, 45028
174, s, 42516
174, e, 47988
174, s, 130268
174, e, 135752
seria 177: 103, min: 0, max: 71152
177, s, 2088
177, e, 6764
177, s, 5160
177, e, 9820
177, s, 16268
177, e, 21008
177, s, 58056
177, e, 62872
seria 178: 87, min: 0, max: 56916
178, s, 7276
178, e, 12112
178, s, 14292
178, e, 19088
178, s, 26324
178, e, 31104
178, s, 38336
178, e, 43100
178, s, 43360
178, e, 48116
seria 179: 141, min: 0, max: 93940
179, s, 7800
179, e, 12568
179, s, 16612
179, e, 21400
179, s, 29792
179, e, 34568
179, s, 65528
179, e, 70284
179, s, 68036
179, e, 72776
179, s, 70536
179, e, 75264
179, s, 73024
179, e, 77748
seria 180: 128, min: 0, max: 85060
180, s, 16664
180, e, 21468
180, s, 19200
180, e, 24008
180, s, 57580
180, e, 62388
180, s, 72116
180, e, 76880
180, s, 77140
180, e, 81916
seria 182: 73, min: 0, max: 47692
182, s, 24764
182, e, 29516
182, s, 27264
182, e, 32008
182, s, 29756
182, e, 34516
182, s, 32256
182, e, 37036
seria 185: 217, min: 0, max: 135028
185, s, 21464
185, e, 26280
185, s, 41104
185, e, 45916
185, s, 53848
185, e, 58676
185, s, 125704
185, e, 130556
seria 186: 65, min: 0, max: 40524
186, s, 4092
186, e, 8916
186, s, 7916
186, e, 12732
186, s, 12376
186, e, 17212
186, s, 33008
186, e, 37936
seria 187: 118, min: 0, max: 76036
187, s, 2884
187, e, 7772
187, s, 6120
187, e, 11000
187, s, 33084
187, e, 37964
187, s, 58928
187, e, 63788
seria 188: 101, min: 0, max: 66896
188, s, 10016
188, e, 14856
188, s, 15788
188, e, 20672
188, s, 35736
188, e, 40592
188, s, 56316
188, e, 61140
seria 189: 107, min: 0, max: 67372
189, s, 4756
189, e, 9600
189, s, 18156
189, e, 22984
189, s, 30272
189, e, 35116
189, s, 34116
189, e, 38900
189, s, 36644
189, e, 41416
189, s, 39788
189, e, 44564
189, s, 44812
189, e, 49576
189, s, 48576
189, e, 53376
189, s, 54268
189, e, 59068
189, s, 56796
189, e, 61636
seria 190: 79, min: 0, max: 50488
190, s, 4788
190, e, 9652
190, s, 11820
190, e, 16644
190, s, 24528
190, e, 29300
190, s, 27036
190, e, 31828
190, s, 30828
190, e, 35660
190, s, 33376
190, e, 38228
seria 191: 161, min: 0, max: 99724
191, s, 10656
191, e, 15572
191, s, 30696
191, e, 35552
191, s, 77700
191, e, 82540
191, s, 91156
191, e, 95940
seria 193: 67, min: 0, max: 42916
193, s, 4076
193, e, 8860
193, s, 12304
193, e, 17088
193, s, 16088
193, e, 20884
193, s, 28252
193, e, 33128
seria 194: 216, min: 0, max: 137404
194, s, 7488
194, e, 12388
194, s, 30392
194, e, 35284
194, s, 37524
194, e, 42380
194, s, 51552
194, e, 56376
194, s, 115536
194, e, 120444
seria 195: 182, min: 0, max: 119892
195, s, 14660
195, e, 19560
195, s, 35264
195, e, 40140
195, s, 75552
195, e, 80432
195, s, 93560
195, e, 98400
seria 196: 138, min: 0, max: 90732
196, s, 18688
196, e, 23576
196, s, 42016
196, e, 46908
196, s, 56996
196, e, 61928
196, s, 62892
196, e, 67812
seria 197: 181, min: 0, max: 121492
197, s, 21412
197, e, 26328
197, s, 24672
197, e, 29576
197, s, 29884
197, e, 34816
197, s, 90252
197, e, 95208
seria 199: 210, min: 0, max: 139556
199, s, 4880
199, e, 9740
199, s, 21688
199, e, 26564
199, s, 51592
199, e, 56548
199, s, 100900
199, e, 105820
seria 201: 188, min: 0, max: 124112
201, s, 4884
201, e, 9776
201, s, 32888
201, e, 37772
201, s, 75920
201, e, 80808
201, s, 84944
201, e, 89832
201, s, 87532
201, e, 92440
seria 202: 400, min: 0, max: 266216
202, s, 54076
202, e, 58856
202, s, 66436
202, e, 71340
202, s, 75632
202, e, 80640
202, s, 146860
202, e, 151796
202, s, 190224
202, e, 195316
202, s, 219140
202, e, 224140
seria 203: 185, min: 0, max: 122508
203, s, 43504
203, e, 48332
203, s, 67484
203, e, 72364
203, s, 73932
203, e, 78800
203, s, 76508
203, e, 81460
203, s, 79792
203, e, 84916
203, s, 85300
203, e, 90380
203, s, 94256
203, e, 99384
203, s, 98384
203, e, 103516
203, s, 105256
203, e, 110340
203, s, 111380
203, e, 116480
seria 204: 172, min: 0, max: 117968
204, s, 6164
204, e, 11124
204, s, 28388
204, e, 33300
204, s, 68508
204, e, 73584
204, s, 106412
204, e, 111332
seria 205: 119, min: 0, max: 80040
205, s, 6864
205, e, 11768
205, s, 52300
205, e, 57196
205, s, 54900
205, e, 59760
seria 206: 101, min: 0, max: 70516
206, s, 2904
206, e, 7988
206, s, 13832
206, e, 19008
206, s, 20064
206, e, 25152
206, s, 24844
206, e, 29968
206, s, 27588
206, e, 32748
206, s, 31060
206, e, 36152
seria 207: 121, min: 0, max: 83872
207, s, 34540
207, e, 39552
207, s, 52424
207, e, 57368
207, s, 67380
207, e, 72452
207, s, 71452
207, e, 76520
seria 208: 156, min: 0, max: 107912
208, s, 6976
208, e, 11788
208, s, 58036
208, e, 63072
208, s, 72412
208, e, 77572
208, s, 75192
208, e, 80340
208, s, 97040
208, e, 102100
seria 209: 124, min: 0, max: 82324
209, s, 3516
209, e, 8308
209, s, 18524
209, e, 23280
209, s, 34700
209, e, 39364
209, s, 66380
209, e, 71532
seria 213: 144, min: 0, max: 101988
213, s, 308
213, e, 5216
213, s, 27180
213, e, 32260
213, s, 37576
213, e, 42852
213, s, 73468
213, e, 78732
213, s, 77032
213, e, 82268
seria 214: 425, min: 0, max: 323456
214, s, 25752
214, e, 32404
214, s, 158048
214, e, 164520
214, s, 293124
214, e, 299820
seria 215: 85, min: 0, max: 74144
215, s, 2792
215, e, 9424
215, s, 12180
215, e, 18848
215, s, 54860
215, e, 61376
215, s, 65888
215, e, 72332
seria 216: 226, min: 0, max: 193384
216, s, 85816
216, e, 92732
seria 217: 198, min: 0, max: 174588
217, s, 108184
217, e, 114872
217, s, 114808
217, e, 121392
217, s, 142356
217, e, 148748
217, s, 165168
217, e, 171812
seria 218: 834, min: 0, max: 572756
218, s, 26420
218, e, 32820
218, s, 54452
218, e, 60832
218, s, 78488
218, e, 84804
218, s, 146400
218, e, 153008
seria 219: 1821, min: 0, max: 1175288
219, s, 591056
219, e, 596880
219, s, 663780
219, e, 669448
219, s, 669972
219, e, 675556
219, s, 792512
219, e, 798224
seria 220: 339, min: 0, max: 210628
220, s, 179036
220, e, 184248
220, s, 190448
220, e, 195648
220, s, 194648
220, e, 199784
220, s, 200172
220, e, 205508
seria 221: 91, min: 0, max: 56088
221, s, 4696
221, e, 10224
221, s, 7716
221, e, 13164
221, s, 10704
221, e, 16100
221, s, 46852
221, e, 52352
seria 222: 258, min: 0, max: 182336
222, s, 2672
222, e, 8052
222, s, 150980
222, e, 156484
222, s, 153984
222, e, 159512
seria 223: 247, min: 0, max: 176236
223, s, 9320
223, e, 14888
223, s, 70948
223, e, 76312
223, s, 111172
223, e, 116448
223, s, 120272
223, e, 125424
seria 224: 264, min: 0, max: 181772
224, s, 45064
224, e, 50344
224, s, 130464
224, e, 135980
224, s, 159832
224, e, 165312
seria 225: 183, min: 0, max: 129676
225, s, 14056
225, e, 19532
225, s, 33564
225, e, 39160
225, s, 38160
225, e, 43756
225, s, 82412
225, e, 87896
225, s, 87620
225, e, 93068
seria 226: 192, min: 0, max: 137572
226, s, 33632
226, e, 39140
226, s, 99544
226, e, 104884
226, s, 102428
226, e, 107808
seria 228: 174, min: 0, max: 131752
228, s, 74928
228, e, 80492
228, s, 116924
228, e, 122516
seria 229: 159, min: 0, max: 121684
229, s, 7432
229, e, 12980
229, s, 67912
229, e, 73548
229, s, 75696
229, e, 81420
229, s, 78844
229, e, 84588
229, s, 84376
229, e, 90144
229, s, 88336
229, e, 94148
229, s, 92360
229, e, 98140
seria 230: 161, min: 0, max: 118800
230, s, 5080
230, e, 10640
230, s, 21488
230, e, 26808
230, s, 98804
230, e, 104288
230, s, 101804
230, e, 107236
230, s, 109832
230, e, 115160
seria 231: 219, min: 0, max: 167076
231, s, 37912
231, e, 43500
231, s, 133764
231, e, 139460
231, s, 158756
231, e, 164196
seria 232: 637, min: 0, max: 455104
232, s, 79864
232, e, 85020
232, s, 83328
232, e, 88488
232, s, 86092
232, e, 91260
232, s, 89572
232, e, 94744
232, s, 127644
232, e, 133120
232, s, 202224
232, e, 207692
232, s, 257460
232, e, 262812
232, s, 333524
232, e, 338860
seria 233: 848, min: 0, max: 529856
233, s, 212904
233, e, 219600
233, s, 333200
233, e, 339752
233, s, 401820
233, e, 408288
233, s, 492448
233, e, 498588
233, s, 496732
233, e, 502836
seria 234: 212, min: 0, max: 144360
234, s, 78712
234, e, 85136
234, s, 90496
234, e, 96772
234, s, 95772
234, e, 102128
234, s, 101972
234, e, 108264
234, s, 128352
234, e, 134688
seria 235: 51, min: 0, max: 45336
235, s, 8980
235, e, 15432
235, s, 13520
235, e, 19928
235, s, 19828
235, e, 26260
235, s, 27948
235, e, 34388
235, s, 32472
235, e, 38972
seria 236: 70, min: 0, max: 62132
236, s, 5296
236, e, 11676
236, s, 16116
236, e, 22588
236, s, 29756
236, e, 36204
236, s, 43296
236, e, 49660
seria 237: 171, min: 0, max: 114364
237, s, 11364
237, e, 17564
237, s, 36584
237, e, 42796
237, s, 40052
237, e, 46268
237, s, 53064
237, e, 59232
seria 238: 186, min: 0, max: 156008
238, s, 55716
238, e, 61712
238, s, 88332
238, e, 94368
238, s, 104320
238, e, 110356
238, s, 120312
238, e, 126340
seria 239: 91, min: 0, max: 75744
239, s, 5248
239, e, 11688
239, s, 20292
239, e, 26640
239, s, 28316
239, e, 34736
239, s, 61268
239, e, 67676
seria 240: 413, min: 0, max: 298940
240, s, 9112
240, e, 15608
240, s, 104900
240, e, 111272
240, s, 186016
240, e, 191932
240, s, 208728
240, e, 214612
seria 241: 560, min: 0, max: 368100
241, s, 83716
241, e, 89724
241, s, 103756
241, e, 109744
241, s, 138716
241, e, 144776
241, s, 239860
241, e, 245788
seria 242: 401, min: 0, max: 275776
242, s, 71644
242, e, 77732
242, s, 118064
242, e, 124056
242, s, 136856
242, e, 142660
242, s, 154056
242, e, 160088
seria 244: 202, min: 0, max: 116000
244, s, 20136
244, e, 24916
244, s, 22656
244, e, 27420
244, s, 25164
244, e, 29940
244, s, 81500
244, e, 86348
244, s, 93676
244, e, 98476
244, s, 96848
244, e, 101616
244, s, 99984
244, e, 104744
244, s, 102500
244, e, 107240
244, s, 104992
244, e, 109736
244, s, 107500
244, e, 112244
seria 245: 80, min: 0, max: 52528
245, s, 4060
245, e, 8884
245, s, 11768
245, e, 16628
245, s, 17548
245, e, 22376
245, s, 44100
245, e, 48824
seria 246: 355, min: 0, max: 210752
246, s, -440
246, e, 4308
246, s, 2052
246, e, 6816
246, s, 103248
246, e, 108004
246, s, 110120
246, e, 114872
246, s, 189720
246, e, 194368
246, s, 203056
246, e, 207696
seria 247: 218, min: 0, max: 136368
247, s, 14724
247, e, 19364
247, s, 28700
247, e, 33340
247, s, 83088
247, e, 87812
247, s, 93712
247, e, 98420
247, s, 121724
247, e, 126428
247, s, 126044
247, e, 130768
seria 250: 93, min: 0, max: 60096
250, s, 7844
250, e, 12660
250, s, 19288
250, e, 24080
250, s, 22444
250, e, 27236
250, s, 38276
250, e, 43056
250, s, 46452
250, e, 51252
250, s, 50252
250, e, 55044
seria 251: 156, min: 0, max: 102276
251, s, 5308
251, e, 10056
251, s, 55768
251, e, 60608
251, s, 69772
251, e, 74580
251, s, 88292
251, e, 93180
seria 252: 70, min: 0, max: 46132
252, s, 6804
252, e, 11720
252, s, 22320
252, e, 27152
252, s, 24880
252, e, 29692
252, s, 38820
252, e, 43596
seria 253: 110, min: 0, max: 72940
253, s, 1528
253, e, 6268
253, s, 34856
253, e, 39640
253, s, 54508
253, e, 59380
253, s, 59668
253, e, 64540
253, s, 62256
253, e, 67116
seria 254: 196, min: 0, max: 130108
254, s, 4188
254, e, 9076
254, s, 64048
254, e, 68864
254, s, 75572
254, e, 80428
254, s, 84580
254, e, 89428
254, s, 88428
254, e, 93284
seria 257: 151, min: 0, max: 92032
257, s, 5512
257, e, 10076
257, s, 24520
257, e, 29060
257, s, 66196
257, e, 70884
257, s, 79552
257, e, 84176
257, s, 83176
257, e, 87816
seria 258: 221, min: 0, max: 129700
258, s, 3672
258, e, 8152
258, s, 32144
258, e, 36564
258, s, 52580
258, e, 57124
258, s, 106488
258, e, 110928
258, s, 111080
258, e, 115540
258, s, 115112
258, e, 119552
258, s, 119124
258, e, 123520
258, s, 122520
258, e, 126900
seria 259: 74, min: 0, max: 41744
259, s, 1776
259, e, 6064
259, s, 29224
259, e, 33508
259, s, 31960
259, e, 36248
259, s, 34700
259, e, 38984
seria 260: 131, min: 0, max: 76596
260, s, 1728
260, e, 6120
260, s, 10208
260, e, 14624
260, s, 45960
260, e, 50488
260, s, 68844
260, e, 73228
seria 261: 57, min: 0, max: 32908
261, s, 2916
261, e, 7324
261, s, 6896
261, e, 11328
261, s, 10896
261, e, 15320
261, s, 14892
261, e, 19292
seria 262: 144, min: 0, max: 85024
262, s, 11420
262, e, 15884
262, s, 32452
262, e, 36912
262, s, 54508
262, e, 58900
262, s, 58468
262, e, 62928
262, s, 60760
262, e, 65240
262, s, 63084
262, e, 67544
262, s, 69448
262, e, 73984
seria 263: 156, min: 0, max: 88784
263, s, 8876
263, e, 13352
263, s, 36888
263, e, 41376
263, s, 47892
263, e, 52380
263, s, 57872
263, e, 62388
seria 264: 97, min: 0, max: 54668
264, s, 24604
264, e, 29112
264, s, 28112
264, e, 32576
264, s, 38540
264, e, 43028
264, s, 42616
264, e, 47120
seria 265: 102, min: 0, max: 59168
265, s, 8768
265, e, 13232
265, s, 32248
265, e, 36660
265, s, 37404
265, e, 41884
seria 266: 137, min: 0, max: 81132
266, s, 10696
266, e, 15136
266, s, 24712
266, e, 29108
266, s, 32668
266, e, 37144
266, s, 55728
266, e, 60128
seria 268: 107, min: 0, max: 60888
268, s, 6460
268, e, 10848
268, s, 14440
268, e, 18932
268, s, 29444
268, e, 33940
268, s, 53440
268, e, 57952
seria 270: 166, min: 0, max: 103276
270, s, 7628
270, e, 12152
270, s, 56556
270, e, 61328
270, s, 74584
270, e, 79284
270, s, 82012
270, e, 86776
seria 271: 141, min: 0, max: 89260
271, s, 16440
271, e, 21348
271, s, 34024
271, e, 38744
271, s, 42728
271, e, 47408
271, s, 75776
271, e, 80396
seria 272: 113, min: 0, max: 65968
272, s, 9660
272, e, 14244
272, s, 15652
272, e, 20232
272, s, 30080
272, e, 34644
272, s, 53120
272, e, 57496
seria 273: 104, min: 0, max: 64548
273, s, 7372
273, e, 12080
273, s, 12336
273, e, 17108
273, s, 21812
273, e, 26588
273, s, 24336
273, e, 29084
273, s, 29332
273, e, 34080
273, s, 36800
273, e, 41512
273, s, 45392
273, e, 50076
seria 275: 200, min: 0, max: 117572
275, s, 5444
275, e, 9964
275, s, 45492
275, e, 49956
275, s, 60492
275, e, 64980
275, s, 91588
275, e, 95900
275, s, 111588
275, e, 115912
